주문번호,송장번호,배송업체,처리일자
, 아이스팩 넉넉히넣어 배송부탁드려요,로젠택배,20250829
,6933-4061-8584,로젠택배,20250829
,6933-4061-8595,로젠택배,20250829
,6933-4061-8606,로젠택배,20250829
,41993584183,로젠택배,20250829
,배송 전에 미리 연락바랍니다.,로젠택배,20250829
,252224855676,로젠택배,20250829
,252224855665,로젠택배,20250829
,252224855654,로젠택배,20250829
,배송 전에 미리 연락바랍니다.,로젠택배,20250829
,부재 시 문 앞에 놓아주세요.,로젠택배,20250829
,배송 전에 미리 연락바랍니다.,로젠택배,20250829
,589071890262,로젠택배,20250829
,배송 전에 미리 연락바랍니다.,로젠택배,20250829
,589071890273,로젠택배,20250829
,6933-3831-8362,로젠택배,20250829
,6933-3831-8351,로젠택배,20250829
,6933-3831-8384,로젠택배,20250829
,대문번호4578*,로젠택배,20250829
,6933-3831-8336,로젠택배,20250829
,6933-3831-8340,로젠택배,20250829
,6933-3831-8373,로젠택배,20250829
,배송 전에 미리 연락바랍니다.,로젠택배,20250829
,부재 시 문 앞에 놓아주세요.,로젠택배,20250829
,6933-3869-0703,로젠택배,20250829
,6933-3869-0541,로젠택배,20250829
,6933-3869-0493,로젠택배,20250829
,6933-3869-0611,로젠택배,20250829
,6933-3869-0773,로젠택배,20250829
,6933-3869-0600,로젠택배,20250829
,6933-3869-0622,로젠택배,20250829
,6933-3869-0552,로젠택배,20250829
,6933-3869-0670,로젠택배,20250829
,6933-3869-0585,로젠택배,20250829
,6933-3869-0740,로젠택배,20250829
,6933-3869-0666,로젠택배,20250829
,6933-3869-0692,로젠택배,20250829
,6933-3869-0714,로젠택배,20250829
,6933-3869-0644,로젠택배,20250829
,부재 시 문 앞에 놓아주세요.,로젠택배,20250829
,6933-3869-0751,로젠택배,20250829
,아이스팩 넉넉히넣어 배송부탁드려요,로젠택배,20250829
,6933-3869-0633,로젠택배,20250829
,6933-3869-0515,로젠택배,20250829
,6933-3869-0725,로젠택배,20250829
,6933-3869-0471,로젠택배,20250829
,6933-3869-0563,로젠택배,20250829
,6933-3869-0482,로젠택배,20250829
,6933-3869-0530,로젠택배,20250829
,문자 후 문앞에 놓아주세요.,로젠택배,20250829
,6933-3869-0526,로젠택배,20250829
,6933-3869-0681,로젠택배,20250829
,6933-3869-0596,로젠택배,20250829
,6933-3869-0736,로젠택배,20250829
,천천히 보내주세요 집에 먹을거 많은데 유튭보다가 힘내시라고 시켜놓는거라서 빨리 안보내주셔도 됩니다,로젠택배,20250829
,6933-3869-0504,로젠택배,20250829
,문앞,로젠택배,20250829
,6933-3869-0655,로젠택배,20250829
,6933-3869-0574,로젠택배,20250829
,6933-3869-0762,로젠택배,20250829
