[2025-09-01 01:26:13] [INFO] CUA 백그라운드 스케줄러 시작
[2025-09-01 01:26:13] [INFO] 일별 작업 등록: cafe24_learning @ 10:00
[2025-09-01 01:26:13] [INFO] 주별 작업 등록: system_cleanup @ sunday 03:00
[2025-09-01 01:31:13] [INFO] 상태 리포트 작성 완료
[2025-09-01 01:36:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 01:41:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 01:46:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 01:51:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 01:56:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:01:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:06:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:11:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:16:14] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:21:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:26:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:31:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:36:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:41:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:46:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:51:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 02:56:15] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:01:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:06:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:11:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:16:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:21:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:26:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:31:16] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:36:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:41:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:46:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:51:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 03:56:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:01:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:06:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:11:17] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:16:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:21:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:26:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:31:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:36:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:41:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:46:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:51:18] [INFO] 상태 리포트 작성 완료
[2025-09-01 04:56:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:01:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:06:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:11:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:16:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:21:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:26:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:31:19] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:36:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:41:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:46:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:51:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 05:56:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:01:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:06:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:11:20] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:16:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:21:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:26:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:31:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:36:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:41:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:46:21] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:51:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 06:56:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:01:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:06:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:11:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:16:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:21:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:26:22] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:31:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:36:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:41:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:46:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:51:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 07:56:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:01:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:06:23] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:11:24] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:16:24] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:21:24] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:26:24] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:31:24] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:36:24] [INFO] 상태 리포트 작성 완료
[2025-09-01 08:41:24] [INFO] 상태 리포트 작성 완료
