product_no,status,product_code,product_name,price,processing_time,error_message
330,success,P00000MS,"[비에스]미국산 프라임 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg",19091,7.33,
331,success,P00000MT,[씨씨더블유]한돈 수제 양념갈비 1kg,12727,6.59,
332,success,P00000MU,[씨씨더블유]오돌뼈 소금구이 200g,4091,6.57,
333,success,P00000MV,[씨씨더블유]명품 양념LA꽃갈비 500g,11818,6.64,
334,success,P00000MW,[씨씨더블유]양념 소대창 200g,5455,6.72,
335,success,P00000MX,[씨씨더블유]솔잎 돼지왕구이 1+1,29091,6.73,
336,success,P00000MY,[씨씨더블유]수제양념 순살구이 1kg,10000,6.8,
337,success,P00000MZ,[씨씨더블유]국내산 소이동왕구이 1.25kg,27273,6.73,
338,success,P00000NA,[씨씨더블유]고추장 오돌뼈 200g,4091,6.68,
339,success,P00000NB,[씨씨더블유]가마솥 불스지 300g,6818,6.64,
