상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,상품 요약설명,상품 간략설명,검색어설정,소비자가,공급가,상품가,판매가,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트
P00000MW,N,N,95|99|110,N|N|N,N|N|N,[씨씨더블유]양념 소대창 200g,좋은 원육 + 특제 감칠맛 양념!,만원요리 추천상품,"만원요리,최씨남매,만원요리최씨남매,만원요리양념 소대창 200g,최씨남매양념 소대창 200g,만원요리추천,최씨남매추천,만원요리직구,최씨남매정품,만원요리공식,양념 소대창 200g,양념 소대창,양념소대창200g,양념 소대창 200g추천,양념 소대창 200g구매,양념 소대창 200g배송,양념 소대창 200g할인,양념 소대창 200g가격,양념 소대창 200g리뷰,양념 소대창 200g후기,양념 소대창 200g주문,양념 소대창 200g최저가,양념 소대창 200g쿠폰,양념 소대창 200g이벤트,양념 소대창 200g 어디서 파나요,양념 소대창 200g 맛있나요,양념 소대창 200g 조리법,양념 소대창 200g 보관법,양념 소대창 200g 유통기한,집에서 양념 소대창 200g,간편하게 양념 소대창 200g,양념 소대창 200g 대용량,양념 소대창 200g 선물용,양념 소대창 200g 가성비,씨씨더블유,씨씨더블유정품,씨씨더블유직구,씨씨더블유양념 소대창 200g,씨씨더블유공식,2025신상,유튜브추천,인플루언서픽,SNS화제,품절대란,재입고",0,4500,5455,6000,,,,,
P00000MV,N,N,53|95|99|56|110|58,N|N|N|N|N|N,N|N|N|N|N|N,[씨씨더블유]명품 양념LA꽃갈비 500g,고급 레시피의 완성,※ 간편하게 조리하세요! 프리미엄 품질의 맛,"1인분,간편식,간편조리,고급,꽃갈비,만원요리,맛있는,명품,밀키트,부드러운,손님접대,시간절약,씨씨더블유,양념,인기,전체상품,정통,정품,즉석요리,집",0,10000,11818,13000,만원요리 최씨남매 | 명품 양념LA꽃갈비 500g 정품 프리미엄,만원요리 최씨남매,만원요리 최씨남매 명품 양념LA꽃갈비 500g. 고급 레시피의 완성. 정성스럽게 준비한 프리미엄 상품으로 특별한 한 끼를 완성하세요.,"1인분,간편식,간편조리,고급,꽃갈비,만원요리,맛있는,명품,밀키트,부드러운,손님접대,시간절약,씨씨더블유,양념,인기,전체상품,정통,정품,즉석요리,집",만원요리 최씨남매 추천 명품 양념LA꽃갈비 500g
P00000MU,N,N,53|95|99|56|110,N|N|N|N|N,N|N|N|N|N,[씨씨더블유]오돌뼈 소금구이 200g,불향 가득한 프리미엄,◆ 굽기만 하면 완성! 불향 가득한 프리미엄 구이,"간편식,고급,달콤,만원요리,모임각,밀키트,베스트,소금구이,손님접대,술한잔,씨씨더블유,안전,오돌뼈,전체상품,정통,정품,즉석요리,쫄깃한,최씨남매",0,3300,4091,4500,오돌뼈 소금구이 200g - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,오돌뼈 소금구이 200g | 만원요리 최씨남매 추천. 불향 가득한 프리미엄. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,고급,달콤,만원요리,모임각,밀키트,베스트,소금구이,손님접대,술한잔,씨씨더블유,안전,오돌뼈,전체상품,정통,정품,즉석요리,쫄깃한,최씨남매,",오돌뼈 소금구이 200g | 만원요리 최씨남매 정품
P00000MT,N,N,53|95|99|56|110,N|N|N|N|N,N|N|N|N|N,[씨씨더블유]한돈 수제 양념갈비 1kg,24시간 숙성한 특제 갈비,◆ 팬에 구워만 드세요! 집에서 즐기는 정통 갈비맛,"간편식,간편조리,건강,만원요리,매콤,맥주안주,모임각,바삭한,손님접대,수제,술안주,술한잔,씨씨더블유,양념갈비,전체상품,정통,정품,즉석,즉석요리",0,11000,12727,14000,최씨남매 만원요리 한돈 수제 양념갈비 1kg | 정품 보장 프리미엄 맛,만원요리 최씨남매,"최씨남매 만원요리 한돈 수제 양념갈비 1kg - 24시간 숙성한 특제 갈비. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편식,간편조리,건강,만원요리,매콤,맥주안주,모임각,바삭한,손님접대,수제,술안주,술한잔,씨씨더블유,양념갈비,전체상품,정통,정품,즉석,즉석요리,",최씨남매 한돈 수제 양념갈비 1kg - 만원요리 프리미엄 상품
P00000MS,N,N,53|95|54|103|56,N|N|N|N|N,N|N|N|N|N,"[비에스]미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg",집에서 즐기는 정통 갈비,※ 팬에 구워만 드세요! 집에서 즐기는 정통 갈비맛,"고소한,만원요리,만원요리추천,맛집,맥주안주,모임각,미국산,비에스,소갈비살,손님접대,술안주,술한잔,시간절약,신선,영양,전체상품,정품,집밥",0,17100,19091,21000,"만원요리 최씨남매 미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg - 집에서 즐기는 프리미엄",만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg. 집에서 즐기는 정통 갈비. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","고소한,만원요리,만원요리추천,맛집,맥주안주,모임각,미국산,비에스,소갈비살,손님접대,술안주,술한잔,시간절약,신선,영양,전체상품,정품,집밥,집밥","만원요리 최씨남매 미국산 소갈비살 200g x 3팩 600g,  200g x 5팩 1kg 상품 이미지"
P00000MI,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]마른오징어 메메 오징어채 200g,쫄깃한 바다의 맛,◆ 조리하기 쉬워요! 쫄깃한 바다의 오징어,"간편식,고급,달콤,마른오징어,만원요리,메메,모임각,밀키트,베스트,손님접대,술한잔,안전,오징어채,인생,전체상품,정통,정품,즉석요리,쫄깃한,최씨남",0,6400,7727,8500,만원요리 최씨남매 마른오징어 메메 오징어채 200g - 집에서 즐기는 프리미엄,만원요리 최씨남매,마른오징어 메메 오징어채 200g | 만원요리 최씨남매 추천. 쫄깃한 바다의 맛. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,고급,달콤,마른오징어,만원요리,메메,모임각,밀키트,베스트,손님접대,술한잔,안전,오징어채,인생,전체상품,정통,정품,즉석요리,쫄깃한,최씨남",마른오징어 메메 오징어채 200g | 만원요리 최씨남매 정품
P00000MH,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]국내가공 오징어실채 180g 1kg,쫄깃한 바다의 맛,◆ 조리하기 쉬워요! 쫄깃한 바다의 오징어,"간편식,간편조리,건강,국내가공,만원요리,매콤,맥주안주,모임각,바삭한,손님접대,술안주,술한잔,오징어실채,인생,전체상품,정통,정품,즉석,즉석요리",0,7050,8182,9000,최씨남매 국내가공 오징어실채 180g 1kg - 만원요리 전문 프리미엄 품질,만원요리 최씨남매,"최씨남매 만원요리 국내가공 오징어실채 180g 1kg - 쫄깃한 바다의 맛. 집에서 즐기는 정통 맛, 정품 보장 프리미엄 상품입니다.","간편식,간편조리,건강,국내가공,만원요리,매콤,맥주안주,모임각,바삭한,손님접대,술안주,술한잔,오징어실채,인생,전체상품,정통,정품,즉석,즉석요리,",최씨남매 국내가공 오징어실채 180g 1kg - 만원요리 프리미엄 상품
P00000MG,Y,Y,53|96|97|99|103|56|109,N|N|N|N|N|N|N,N|N|N|N|N|N|N,[인생]참오징어구이채 150g 1kg,쫄깃한 바다의 맛,◆ 조리하기 쉬워요! 쫄깃한 바다의 오징어,"고소한,만원요리,만원요리추천,맛집,맥주안주,모임각,손님접대,술안주,술한잔,시간절약,신선,영양,인생,전체상품,정품,집밥,집밥각,참오징어구이채",0,6095,7273,8000,만원요리 최씨남매 | 참오징어구이채 150g 1kg 정품 프리미엄,만원요리 최씨남매,"만원요리 최씨남매에서 엄선한 참오징어구이채 150g 1kg. 쫄깃한 바다의 맛. 정품 보장, 프리미엄 품질로 집에서 간편하게 즐기세요.","고소한,만원요리,만원요리추천,맛집,맥주안주,모임각,손님접대,술안주,술한잔,시간절약,신선,영양,인생,전체상품,정품,집밥,집밥각,참오징어구이채,",만원요리 최씨남매 참오징어구이채 150g 1kg 상품 이미지
P00000MF,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]불갈비맛 오징어 150g 1kg,쫄깃한 바다의 맛,◆ 조리하기 쉬워요! 쫄깃한 바다의 오징어,"1인분,간편조리,만원요리,맛있는,맥주안주,밀키트,부드러운,불갈비맛,손님접대,술안주,술한잔,시간절약,오징어,인기,인생,전체상품,정품,집밥,집밥각",0,6990,8636,9500,불갈비맛 오징어 150g 1kg - 만원요리 최씨남매 추천 프리미엄 상품,만원요리 최씨남매,만원요리 최씨남매 불갈비맛 오징어 150g 1kg. 쫄깃한 바다의 맛. 정성스럽게 준비한 프리미엄 상품으로 특별한 한 끼를 완성하세요.,"1인분,간편조리,만원요리,맛있는,맥주안주,밀키트,부드러운,불갈비맛,손님접대,술안주,술한잔,시간절약,오징어,인기,인생,전체상품,정품,집밥,집밥각,",만원요리 최씨남매 추천 불갈비맛 오징어 150g 1kg
P00000ME,Y,Y,53|97|99|103|56|109,N|N|N|N|N|N,N|N|N|N|N|N,[인생]빠삭어포 50g,깊은 맛의 프리미엄,※ 전통 방식으로! 깊은 맛의 프리미엄,"간편식,간편조리,고급,달콤,만원요리,밀키트,베스트,빠삭어포,술한잔,시간절약,안전,인생,전체상품,정통,정품,집밥,집밥각,쫄깃한,최씨남매,프리미엄",0,1400,2273,2500,최씨남매 만원요리 빠삭어포 50g | 정품 보장 프리미엄 맛,만원요리 최씨남매,빠삭어포 50g | 만원요리 최씨남매 추천. 깊은 맛의 프리미엄. 간편 조리로 완성하는 프리미엄 맛을 경험하세요.,"간편식,간편조리,고급,달콤,만원요리,밀키트,베스트,빠삭어포,술한잔,시간절약,안전,인생,전체상품,정통,정품,집밥,집밥각,쫄깃한,최씨남매,프리미엄,",빠삭어포 50g | 만원요리 최씨남매 정품
